full_name,week_start,mean_sentiment_score,n_posts,week_index,birthdate,gender,faction,profession,district_number,district_name,mandate,clean_handle,age
Alexander Müller,2025-03-03,-2.49203158379694,4,40,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Müller,2025-03-10,-0.9895496946877771,4,41,1969-07-17,männlich,FDP,"Dipl.-Informatiker, Berufspilot, Oberstleutnant d. R.",178.0,Rheingau-Taunus - Limburg,Landesliste,alexandermueller.bsky.social,56
Alexander Ulrich,2024-12-02,1.0391689926530283,1,27,1971-02-11,männlich,BSW,2. Bevollmächtigter und Geschäftsführer der IG-Metall,209.0,Kaiserslautern,Landesliste,aulrich.bsky.social,53
Alexander Ulrich,2024-12-16,-5.263961924210464,1,29,1971-02-11,männlich,BSW,2. Bevollmächtigter und Geschäftsführer der IG-Metall,209.0,Kaiserslautern,Landesliste,aulrich.bsky.social,53
Andreas Audretsch,2024-11-11,0.5246769934727045,1,24,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,40
Andreas Audretsch,2024-11-18,-2.1565353936127836,1,25,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,40
Andreas Audretsch,2024-12-23,-5.286595875065427,1,30,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,40
Andreas Audretsch,2024-12-30,-5.7559485171165194,1,31,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,40
Andreas Audretsch,2025-01-06,-4.399224193034644,1,32,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-01-20,-0.09158895646904167,1,34,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-01-27,-1.7065315104686019,5,35,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-02-03,1.087461755344876,3,36,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-02-17,-0.6540315868430445,1,38,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-03-03,-5.861524258713664,1,40,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-03-10,-2.6464555910770375,1,41,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-03-17,-4.803475009770711,3,42,1984-06-25,männlich,Grünen,Sozialwissenschaftler,82.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-03-24,-2.4343679016507602,7,43,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-03-31,-3.0177707287541677,13,44,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-04-07,-3.418982243688784,6,45,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-04-14,-3.463313526709111,18,46,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-04-21,-3.705059876180998,7,47,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-04-28,-1.9999590106875005,8,48,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-05-05,-1.3966577685124621,4,49,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-05-12,-0.6716793725580016,3,50,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-05-19,-4.373885121607347,5,51,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-05-26,-2.5794202736138416,7,52,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-06-02,-3.1776994371289566,9,53,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-06-09,-2.6872248306380753,7,54,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-06-16,-3.2988954910368977,13,55,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-06-23,-3.147913719569131,6,56,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-06-30,-4.656732383140835,11,57,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-07-07,-3.3290085809476695,4,58,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-07-14,-1.5295632062069706,2,59,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-07-21,-3.2728553398957425,2,60,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Andreas Audretsch,2025-07-28,-4.208224759574839,5,61,1984-06-25,männlich,Grünen,Sozialwissenschaftler,81.0,Berlin-Neukölln,Landesliste,andreasaudretsch.de,41
Anke Domscheit-Berg,2024-06-03,-0.7040245825161403,10,1,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-06-10,-1.912451503559398,5,2,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-06-17,-5.424146428608742,2,3,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-06-24,-1.4333704441544437,6,4,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-07-01,-1.230805369922414,2,5,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-07-08,-1.2059966847886545,14,6,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-07-15,-0.011074304463507226,8,7,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-07-22,-1.593299027827528,3,8,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-07-29,-0.4446675081594276,1,9,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-08-05,-1.6434139153642304,12,10,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-08-12,-0.31270780514800733,1,11,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-08-19,-2.918138183536951,2,12,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-08-26,-0.9732226975895432,11,13,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-09-02,-2.504424820059408,17,14,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-09-09,-2.8172942328494055,37,15,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-09-16,-0.8769198402383828,11,16,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-09-23,-2.2002277892400155,22,17,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-09-30,-2.3651462058354853,15,18,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-10-07,-1.8902517319885035,17,19,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-10-14,-2.5801531376043827,12,20,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-10-21,-4.541534071331211,10,21,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-10-28,-1.5131892279509611,7,22,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-11-04,-2.6453392013965753,24,23,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-11-11,-1.8521845712175546,52,24,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-11-18,-2.3355473587075912,6,25,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-11-25,-2.255235948207847,33,26,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-12-02,-1.7689395200924385,38,27,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-12-09,-2.4498043237198797,32,28,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-12-16,-3.405549590230166,85,29,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-12-23,-1.7679629884344552,48,30,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2024-12-30,-0.8799486763247765,67,31,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,56
Anke Domscheit-Berg,2025-01-06,-1.9810567038311397,33,32,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-01-13,-2.7252208968464795,44,33,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-01-20,-3.2621737971233182,55,34,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-01-27,-2.2418383745628687,128,35,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-02-03,-2.7280420170667523,48,36,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-02-10,-1.6116399554891296,24,37,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-02-17,-1.6549294224171063,44,38,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-02-24,-3.1691609845125783,44,39,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-03-03,-3.0576043367014054,30,40,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-03-10,-3.5782606180554315,45,41,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Anke Domscheit-Berg,2025-03-17,0.06675243602780825,7,42,1968-02-17,weiblich,Die LINKE,Publizistin,58.0,Oberhavel - Havelland II,Landesliste,anke.domscheit-berg.de,57
Annalena Baerbock,2025-01-13,-0.7780252566205217,4,33,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-01-20,-1.4697180849905371,11,34,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-01-27,-2.2323499377826677,8,35,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-02-03,1.1801149624748644,5,36,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-02-10,-1.1200475320029821,10,37,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-02-17,-2.9097849912158362,9,38,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-02-24,-1.7872428917344492,4,39,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-03-03,-1.5892306341406874,2,40,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-03-10,0.3801048187783995,8,41,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-03-17,-2.8033264981774093,4,42,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-03-24,0.9103424429580793,2,43,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-04-07,-3.902049419521797,3,45,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-04-14,-2.1317119199640744,2,46,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-04-21,-2.9586937927086225,2,47,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-04-28,1.687539049747165,3,48,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Annalena Baerbock,2025-05-05,4.890854566569873,1,49,1980-12-15,weiblich,Grünen,Völkerrechtlerin,61.0,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social,45
Anne-Mieke Bremer,2025-04-07,2.8017954007088286,1,45,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-04-21,1.8503739891493385,2,47,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-04-28,-0.664111902021622,2,48,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-05-05,-1.3876682807509633,3,49,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-05-19,-2.0394203799935733,1,51,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-06-02,2.4537143566794026,2,53,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Anne-Mieke Bremer,2025-06-30,0.6462789769420494,1,57,1991-10-31,weiblich,Die LINKE,Sozialarbeiterin,40.0,Nienburg II – Schaumburg,Landesliste,koffeinpiratin.dielinkebt.de,34
Ates Gürpinar,2024-12-16,-3.2098192220519923,6,29,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,40
Ates Gürpinar,2024-12-30,-0.791122624133392,2,31,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,40
Ates Gürpinar,2025-01-06,-4.883053886826466,3,32,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-01-13,-3.2381019965933446,9,33,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-01-20,-2.3430641561254095,6,34,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-01-27,-2.1204591695677375,12,35,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-02-03,-3.779316414751945,6,36,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-02-10,-1.881607092168745,7,37,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-02-17,0.22342079795663058,12,38,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-02-24,0.06303316008426545,6,39,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-03-03,-2.6484374858641395,11,40,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-03-10,-4.117771399890386,3,41,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-03-17,-3.8003603714053966,10,42,1984-09-25,männlich,Die LINKE,,222.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-03-24,-4.003219929941615,12,43,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-03-31,-2.975882052746379,7,44,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-04-07,-3.583601890275336,12,45,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-04-14,-3.1993066370493013,23,46,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-04-21,-3.95565188618674,7,47,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-04-28,-2.6243114565220296,9,48,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-05-05,-3.0884734673079173,3,49,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-05-12,-5.081584125849516,6,50,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-05-19,-2.662610723846313,6,51,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-05-26,-0.6201064460400945,2,52,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-06-02,-4.3846384947995825,9,53,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-06-09,-2.8158901798459994,15,54,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
Ates Gürpinar,2025-06-16,-3.354608201723051,12,55,1984-09-25,männlich,Die LINKE,,221.0,Rosenheim,Landesliste,atesguerpinar.dielinkebt.de,41
