,id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,potential_handle
333,11004736,Mariana Iris Harder-Kühnel,1974-08-16,weiblich,AfD,2021-10-26,2025-03-25,Rechtsanwältin,175,Main-Kinzig - Wetterau II - Schotten,Landesliste,
325,11004721,Markus Frohnmaier,1991-02-25,männlich,AfD,2021-10-26,2025-03-25,Pressesprecher,260,Böblingen,Landesliste,
402,11004862,Martin Erwin Renner,1954-05-05,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Betriebswirt,104,Mettmann I,Landesliste,
340,11004749,Martin Hess,1971-01-11,männlich,AfD,2021-10-26,2025-03-25,Polizeihauptkommissar a. D.,265,Ludwigsburg,Landesliste,
401,11004859,Martin Reichardt,1969-07-30,männlich,AfD,2021-10-26,2025-03-25,"Offizier, Dipl.-Pädagoge",73,Burgenland - Saalekreis,Landesliste,americanwatr.bsky.social
419,11004892,Martin Sichert,1980-06-10,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Kaufmann,244,Nürnberg-Nord,Landesliste,
616,11005157,Matthias Moosdorf,1965-04-20,männlich,AfD,2021-10-26,2025-03-25,"Musiker, Hochschullehrer",165,Zwickau,Direktwahl,
615,11005156,Mike Moncsek,1964-08-08,männlich,AfD,2021-10-26,2025-03-25,Kfz-Mechaniker,163,Chemnitzer Umland - Erzgebirgskreis II,Direktwahl,
343,11004753,Nicole Höchst,1970-02-10,weiblich,AfD,2021-10-26,2025-03-25,,201,Kreuznach,Landesliste,nicolehoechst-mdb.bsky.social
358,11004781,Norbert Kleinwächter,1986-02-22,männlich,AfD,2021-10-26,2025-03-25,Lehrer,,,Landesliste,
293,11004675,Peter Boehringer,1969-04-06,männlich,AfD,2021-10-26,2025-03-25,"Publizist, Kaufmann",232,Amberg,Landesliste,
321,11004714,Peter Felser,1969-09-20,männlich,AfD,2021-10-26,2025-03-25,Unternehmer,,,Landesliste,
305,11004692,Petr Bystron,1972-11-30,männlich,AfD,2021-10-26,2024-07-15,Diplom-Politologe,217,München-Nord,Landesliste,
444,11004932,Prof. Dr. Harald Weyel,1959-08-30,männlich,AfD,2021-10-26,2025-03-25,Professor der Betriebswirtschaft,100,Rheinisch-Bergischer Kreis,Landesliste,
561,11005100,Prof. Dr. Michael Kaufmann,1964-04-21,männlich,AfD,2021-10-26,2025-03-25,"Ingenieur, Hochschullehrer",195,Saalfeld-Rudolstadt - Saale-Holzland-Kreis - Saale-Orla-Kreis,Direktwahl,
487,11005026,René Bochmann,1969-02-04,männlich,AfD,2021-10-26,2025-03-25,Bürokaufmann,151,Nordsachsen,Direktwahl,
423,11004900,René Springer,1979-07-15,männlich,AfD,2021-10-26,2025-03-25,Politikwissenschaftler,,,Landesliste,
481,11005020,Roger Beckamp,1975-07-18,männlich,AfD,2021-10-26,2025-03-25,Rechtsanwalt,98,Rhein-Sieg-Kreis II,Landesliste,
373,11004807,Rüdiger Lucassen,1951-08-19,männlich,AfD,2021-10-26,2025-03-25,Mitglied des Deutschen Bundestag,92,Euskirchen - Rhein-Erft-Kreis II,Landesliste,
386,11004836,Sebastian Münzenmaier,1989-07-02,männlich,AfD,2021-10-26,2025-03-25,Finanzanlagen- und Versicherungsfachmann (IHK),205,Mainz,Landesliste,
355,11004778,Stefan Keuter,1972-08-19,männlich,AfD,2021-10-26,2025-03-25,Bankkaufmann,120,Essen III,Landesliste,
553,11005092,Steffen Janich,1971-01-22,männlich,AfD,2021-10-26,2025-03-25,Polizist,158,Sächsische Schweiz-Osterzgebirge,Direktwahl,
365,11004791,Steffen Kotré,1971-04-29,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Ingenieur,62,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,Landesliste,
296,11004678,Stephan Brandner,1966-05-29,männlich,AfD,2021-10-26,2025-03-25,"Rechtsanwalt, Industriekaufmann",194,Gera - Greiz - Altenburger Land,Direktwahl,schwachi.bsky.social
400,11004858,Stephan Protschka,1977-11-08,männlich,AfD,2021-10-26,2025-03-25,selbständig,230,Rottal-Inn,Landesliste,
503,11005042,Thomas Dietz,1967-03-12,männlich,AfD,2021-10-26,2025-03-25,MdB,164,Erzgebirgskreis I,Direktwahl,thomasdietz.bsky.social
316,11004707,Thomas Ehrhorn,1959-03-20,männlich,AfD,2021-10-26,2025-03-25,Pilot,44,Celle - Uelzen,Landesliste,
308,11004695,Tino Chrupalla,1975-04-14,männlich,AfD,2021-10-26,2025-03-25,Maler- und Lackierermeister,157,Görlitz,Direktwahl,tinochrupalla.bsky.social
395,11004850,Tobias Matthias Peterka,1982-09-04,männlich,AfD,2021-10-26,2025-03-25,Jurist,237,Bayreuth,Landesliste,
408,11004873,Ulrike Schielke-Ziesing,1969-06-17,weiblich,AfD,2021-10-26,2025-03-25,"Deutsche Rentenversicherung, gehobener Dienst",17,Mecklenburgische Seenplatte II - Landkreis Rostock III,Landesliste,
416,11004888,Uwe Schulz,1961-12-12,männlich,AfD,2021-10-26,2025-03-25,Leitender Angestellter,173,Gießen,Landesliste,reviersteiger.bsky.social
385,11004835,Volker Münz,1964-08-08,männlich,AfD,2024-07-16,2025-03-25,"Dipl.-Ökonom, Verlagsinhaber",263,Göppingen,Landesliste,
445,11004933,Wolfgang Wiehle,1964-10-20,männlich,AfD,2021-10-26,2025-03-25,Dipl.-Informatiker,219,München-Süd,Landesliste,
141,11004106,Agnes Malczak,1985-02-08,weiblich,Grünen,2021-10-26,2025-03-25,,294,Ravensburg,Landesliste,
472,11005011,Andreas Audretsch,1984-06-25,männlich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftler,82,Berlin-Neukölln,Landesliste,andreasaudretsch.de
590,11005130,Anja Liebert,1969-09-19,weiblich,Grünen,2021-10-26,2025-03-25,Verwaltungsangestellte,102,Wuppertal I,Landesliste,
175,11004245,Annalena Baerbock,1980-12-15,weiblich,Grünen,2021-10-26,2025-03-25,Völkerrechtlerin,61,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,Landesliste,albaerbock.bsky.social
694,11005237,Awet Tesfaiesus,1974-10-05,weiblich,Grünen,2021-10-26,2025-03-25,Rechtsanwältin,169,Werra-Meißner - Hersfeld-Rotenburg,Landesliste,awettesfaiesus.bsky.social
147,11004117,Beate Müller-Gemmeke,1960-10-07,weiblich,Grünen,2021-10-26,2025-03-25,Dipl. Sozialpädagogin (FH),289,Reutlingen,Landesliste,gruenebeate.bsky.social
169,11004221,Beate Walter-Rosenheimer,1964-11-20,weiblich,Grünen,2021-10-26,2025-03-25,Diplom-Psychologin,215,Fürstenfeldbruck,Landesliste,
544,11005083,Bernhard Herrmann,1966-01-13,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Wasserbauingenieur,163,Chemnitzer Umland - Erzgebirgskreis II,Landesliste,bherrmann.bsky.social
614,11005155,Boris Mijatović,1974-02-04,männlich,Grünen,2021-10-26,2025-03-25,Angestellter,168,Kassel,Landesliste,boris-mijatovic.bsky.social
72,11003764,Britta Haßelmann,1961-12-10,weiblich,Grünen,2021-10-26,2025-03-25,Sozialarbeiterin,132,Bielefeld - Gütersloh II,Landesliste,britta-hasselmann.de
73,11003764,Britta Haßelmann,1961-12-10,weiblich,Grünen,2021-10-26,2025-03-25,Sozialarbeiterin,132,Bielefeld - Gütersloh II,Landesliste,britta-hasselmann.de
547,11005086,Bruno Hönel,1996-04-01,männlich,Grünen,2021-10-26,2025-03-25,Psychologe (B. Sc.),11,Lübeck,Landesliste,brunohoenel.bsky.social
286,11004665,Canan Bayram,1966-02-11,weiblich,Grünen,2021-10-26,2025-03-25,Rechtsanwältin,83,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,Direktwahl,lieblingxhain.bsky.social
10,11002746,Cem Özdemir,1965-12-21,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Sozialpädagoge,258,Stuttgart I,Direktwahl,oezdemir.de
571,11005111,Chantal Kopf,1995-03-20,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin,281,Freiburg,Direktwahl,chantalkopf.bsky.social
671,11005214,Christina-Johanne Schröder,1983-12-06,weiblich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftlerin,28,Delmenhorst - Wesermarsch - Oldenburg-Land,Landesliste,cjschroeder.de
382,11004830,Claudia Müller,1981-08-10,weiblich,Grünen,2021-10-26,2025-03-25,Betriebswirtin,15,Vorpommern-Rügen - Vorpommern-Greifswald I,Landesliste,gruenclaudia.bsky.social
22,11003212,Claudia Roth,1955-05-15,weiblich,Grünen,2021-10-26,2025-03-25,,252,Augsburg-Stadt,Landesliste,claudiaroth.bsky.social
241,11004390,Corinna Rüffer,1975-10-11,weiblich,Grünen,2021-10-26,2025-03-25,Poltikerin,203,Trier,Landesliste,corinna-rueffer.de
506,11005045,Deborah Düring,1994-07-18,weiblich,Grünen,2021-10-26,2025-03-25,,182,Frankfurt am Main I,Landesliste,deborah-duering.de
593,11005133,Denise Loop,1994-05-19,weiblich,Grünen,2021-10-26,2025-03-25,Sozialarbeiterin,2,Nordfriesland - Dithmarschen Nord,Landesliste,denisegatito.bsky.social
209,11004312,Dieter Janecek,1976-05-25,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Politikwissenschaftler,220,München-West/Mitte,Landesliste,djanecek.bsky.social
307,11004694,Dr. Anna Christmann,1983-09-24,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin,259,Stuttgart II,Landesliste,
46,11003585,Dr. Anna Lührmann,1983-06-14,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin,187,Odenwald,Landesliste,
683,11005225,Dr. Anne Monika Spallek,1968-01-16,weiblich,Grünen,2021-10-26,2025-03-25,"Betriebsleiterin Pferdehof, Unternehmensberaterin",127,Coesfeld - Steinfurt II,Landesliste,
74,11003772,Dr. Anton Hofreiter,1970-02-02,männlich,Grünen,2021-10-26,2025-03-25,Biologe,221,München-Land,Landesliste,
345,11004756,Dr. Bettina Hoffmann,1960-01-18,weiblich,Grünen,2021-10-26,2025-03-25,Dipl.-Biologin,170,Schwalm-Eder,Landesliste,bhoffmann.bsky.social
177,11004255,Dr. Franziska Brantner,1979-08-24,weiblich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftlerin,274,Heidelberg,Direktwahl,
740,11005312,Dr. Franziska Krumwiede-Steiner,1985-07-23,weiblich,Grünen,2024-03-04,2025-03-25,Lehrerin,118,Mülheim - Essen I,Landesliste,
222,11004353,Dr. Irene Mihalic,1976-11-17,weiblich,Grünen,2021-10-26,2025-03-25,Polizeibeamtin,123,Gelsenkirchen,Landesliste,
526,11005065,Dr. Jan-Niclas Gesenhues,1990-02-12,männlich,Grünen,2021-10-26,2025-03-25,"Volkswirt, MdB",128,Steinfurt III,Landesliste,
459,11004962,Dr. Janosch Dahmen,1981-09-06,männlich,Grünen,2021-10-26,2025-03-25,Arzt,138,Hagen - Ennepe-Ruhr-Kreis I,Landesliste,
262,11004429,Dr. Julia Verlinden,1979-01-18,weiblich,Grünen,2021-10-26,2025-03-25,Dipl.-Umweltwissenschaftlerin,37,Lüchow-Dannenberg - Lüneburg,Landesliste,wunderlicher.bsky.social
354,11004773,Dr. Kirsten Kappert-Gonther,1966-11-03,weiblich,Grünen,2021-10-26,2025-03-25,Fachärztin für Psychatrie und Psychotherapie,54,Bremen I,Landesliste,
149,11004123,Dr. Konstantin Notz,1971-01-21,männlich,Grünen,2021-10-26,2025-03-25,Rechtsanwalt,10,Herzogtum Lauenburg - Stormarn-Süd,Landesliste,
405,11004866,Dr. Manuela Rottmann,1972-05-09,weiblich,Grünen,2021-10-26,2024-12-01,Juristin,248,Bad Kissingen,Landesliste,
626,11005167,Dr. Ophelia Nick,1973-01-24,weiblich,Grünen,2021-10-26,2025-03-25,"Tierärztin, Bundestagsabgeordnete",105,Mettmann II,Landesliste,
638,11005180,Dr. Paula Piechotta,1986-09-19,weiblich,Grünen,2021-10-26,2025-03-25,Ärztin,153,Leipzig II,Landesliste,paulapiechotta.de
535,11005074,Dr. Robert Habeck,1969-09-02,männlich,Grünen,2021-10-26,2025-03-25,Schriftsteller,1,Flensburg - Schleswig,Direktwahl,
500,11005039,Dr. Sandra Detzer,1980-04-21,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin,265,Ludwigsburg,Landesliste,sandradetzer.bsky.social
658,11005201,Dr. Sebastian Schäfer,1979-07-11,männlich,Grünen,2021-10-26,2025-03-25,Wirtschaftswissenschaftler,261,Esslingen,Landesliste,
685,11005228,Dr. Till Steffen,1973-07-22,männlich,Grünen,2021-10-26,2025-03-25,Rechtsanwalt,20,Hamburg-Eimsbüttel,Direktwahl,
168,11004217,Dr. Tobias Lindner,1982-01-11,männlich,Grünen,2021-10-26,2025-03-25,Wirtschaftswissenschaftler,211,Südpfalz,Landesliste,tobiaslindner.bsky.social
97,11003888,Dr. Wolfgang Strengmann-Kuhn,1964-05-20,männlich,Grünen,2021-10-26,2025-03-25,Volkswirt,185,Offenbach,Landesliste,
604,11005145,Dr. Zoe Mayer,1995-08-07,weiblich,Grünen,2021-10-26,2025-03-25,Doktorin der Ingenieurwissenschaften (Dr.-Ing.),271,Karlsruhe-Stadt,Direktwahl,zoegruene.bsky.social
15,11003068,Ekin Deligöz,1971-04-21,weiblich,Grünen,2021-10-26,2025-03-25,Dipl.-Verwaltungswissenschaftlerin,255,Neu-Ulm,Landesliste,ekin-deligoez.de
516,11005055,Emilia Fester,1998-04-28,weiblich,Grünen,2021-10-26,2025-03-25,Regieassistentin,,,Landesliste,emiliafester.de
331,11004733,Erhard Grundl,1963-01-07,männlich,Grünen,2021-10-26,2025-03-25,Vertriebsmanager,231,Straubing,Landesliste,erhardgrundl.bsky.social
477,11005016,Felix Banaszak,1989-10-24,männlich,Grünen,2021-10-26,2025-03-25,,116,Duisburg II,Landesliste,
399,11004857,Filiz Polat,1978-07-11,weiblich,Grünen,2021-10-26,2025-03-25,Dipl.-Volkswirtin,38,Osnabrück-Land,Landesliste,filiz-polat.de
495,11005034,Frank Bsirske,1952-02-10,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Politologe,51,Helmstedt - Wolfsburg,Landesliste,frankbsirske.bsky.social
687,11005230,Hanna Steinmüller,1993-04-09,weiblich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftlerin,75,Berlin-Mitte,Direktwahl,hanna-steinmueller.de
167,11004215,Harald Ebner,1964-07-08,männlich,Grünen,2021-10-26,2025-03-25,Agraringenieur,268,Schwäbisch Hall - Hohenlohe,Landesliste,ebnerharald.bsky.social
592,11005132,Helge Limburg,1982-10-25,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Jurist,46,Hameln-Pyrmont - Holzminden,Landesliste,helgelimburg.bsky.social
148,11004119,Ingrid Nestle,1977-12-22,weiblich,Grünen,2021-10-26,2025-03-25,Diplom-Wirtschaftsingenieurin,3,Steinburg - Dithmarschen Süd,Landesliste,
657,11005200,Jamila Schäfer,1993-04-30,weiblich,Grünen,2021-10-26,2025-03-25,Studentin der Soziologie,219,München-Süd,Direktwahl,jamilaschaefer.bsky.social
747,11005319,Johannes F. Kretschmann,1978-07-14,männlich,Grünen,2025-01-27,2025-03-25,Freiberuflicher Kulturschaffender,295,Zollernalb - Sigmaringen,Landesliste,
705,11005248,Johannes Wagner,1991-08-01,männlich,Grünen,2021-10-26,2025-03-25,Arzt,238,Coburg,Landesliste,yoohannes.bsky.social
632,11005173,Julian Pahlke,1991-10-15,männlich,Grünen,2021-10-26,2025-03-25,ohne Angabe,25,Unterems,Landesliste,jpahlke.bsky.social
739,11005311,Jürgen Kretz,1982-06-07,männlich,Grünen,2024-02-15,2025-03-25,Politikwissenschaftler,277,Rhein-Neckar,Landesliste,juergenkretz.bsky.social
69,11003756,Kai Gehring,1977-12-26,männlich,Grünen,2021-10-26,2025-03-25,Dipl.-Sozialwissenschaftler,120,Essen III,Landesliste,kgehring.bsky.social
478,11005017,Karl Bär,1985-03-13,männlich,Grünen,2021-10-26,2025-03-25,Agrarökonom,223,Bad Tölz-Wolfratshausen - Miesbach,Landesliste,karlbaer.bsky.social
631,11005172,Karoline Otte,1996-09-11,weiblich,Grünen,2021-10-26,2025-03-25,Kreisinspektorin,52,Goslar - Northeim - Osterode,Landesliste,
654,11005197,Kassem Taher Saleh,1993-06-01,männlich,Grünen,2021-10-26,2025-03-25,Bauingenieur,159,Dresden I,Landesliste,kassemtahersaleh.bsky.social
480,11005019,Katharina Beck,1982-04-13,weiblich,Grünen,2021-10-26,2025-03-25,Unternehmensberaterin für Nachhaltigkeit,21,Hamburg-Nord,Landesliste,katharinabeck.bsky.social
183,11004263,Katharina Dröge,1984-09-16,weiblich,Grünen,2021-10-26,2025-03-25,Volkswirtin,95,Köln III,Landesliste,katharinadroege.bsky.social
184,11004263,Katharina Dröge,1984-09-16,weiblich,Grünen,2021-10-26,2025-03-25,Volkswirtin,95,Köln III,Landesliste,katharinadroege.bsky.social
541,11005080,Kathrin Henneberger,1987-04-01,weiblich,Grünen,2021-10-26,2025-03-25,Angestellte,109,Mönchengladbach,Landesliste,handle.invalid
126,11004067,Katja Keul,1969-11-30,weiblich,Grünen,2021-10-26,2025-03-25,Rechtsanwältin,40,Nienburg II - Schaumburg,Landesliste,katja-keul.de
17,11003132,Katrin Dagmar Göring-Eckardt,1966-05-03,weiblich,Grünen,2021-10-26,2025-03-25,MdB,193,Erfurt - Weimar - Weimarer Land II,Landesliste,
699,11005242,Katrin Uhlig,1982-07-05,weiblich,Grünen,2021-10-26,2025-03-25,Dipl.-Kulturwirtin,96,Bonn,Direktwahl,katrinuhlig.bsky.social
249,11004405,Kordula Schulz-Asche,1956-12-31,weiblich,Grünen,2021-10-26,2025-03-25,"Krankenschwester, Kommunikationswissenschaftlerin",181,Main-Taunus,Landesliste,schulzasche.bsky.social
556,11005095,Lamya Kaddor,1978-06-11,weiblich,Grünen,2021-10-26,2025-03-25,"Islamwissenschaftlerin, Lehrerin für islamischen Religionsunterricht, Publizistin",115,Duisburg I,Landesliste,lamyakaddor.bsky.social
573,11005113,Laura Kraft,1990-12-01,weiblich,Grünen,2021-10-26,2025-03-25,Literaturwissenschaftlerin,148,Siegen-Wittgenstein,Landesliste,laurakraft.bsky.social
508,11005047,Leon Eckert,1995-04-09,männlich,Grünen,2021-10-26,2025-03-25,Kommunalreferent,214,Freising,Landesliste,leon-eckert.de
539,11005078,Linda Heitmann,1982-08-02,weiblich,Grünen,2021-10-26,2025-03-25,Geschäftsführung in der Suchtkrankenhilfe,19,Hamburg-Altona,Direktwahl,linda-altona.bsky.social
283,11004659,Lisa Badum,1983-10-02,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin,236,Bamberg,Landesliste,lisa-badum.de
151,11004127,Lisa Paus,1968-09-19,weiblich,Grünen,2021-10-26,2025-03-25,,80,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social
173,11004243,Luise Amtsberg,1984-10-17,weiblich,Grünen,2021-10-26,2025-03-25,,5,Kiel,Landesliste,luiseamtsberg.bsky.social
483,11005022,Lukas Benner,1996-02-20,männlich,Grünen,2021-10-26,2025-03-25,Jurist,88,Aachen II,Landesliste,noraschulte.bsky.social
473,11005012,Maik Außendorf,1971-08-17,männlich,Grünen,2021-10-26,2025-03-25,IT-Unternehmer,100,Rheinisch-Bergischer Kreis,Landesliste,maik-aussendorf.de
460,11004969,Marcel Emmerich,1991-05-12,männlich,Grünen,2021-10-26,2025-03-25,Wissenschaftlicher Referent,291,Ulm,Landesliste,herremmerich.bsky.social
130,11004072,Maria Klein-Schmeink,1958-01-06,weiblich,Grünen,2021-10-26,2025-03-25,Soziologin,129,Münster,Direktwahl,mklsch.bsky.social
43,11003578,Markus Kurth,1966-04-14,männlich,Grünen,2021-10-26,2025-03-25,Dipl. Politologe,142,Dortmund I,Landesliste,markus-kurth.de
669,11005212,Marlene Schönberger,1990-12-06,weiblich,Grünen,2021-10-26,2025-03-25,Politikwissenschaftlerin (M. A.),230,Rottal-Inn,Landesliste,marleneschonberger.bsky.social
191,11004278,Matthias Gastel,1970-12-26,männlich,Grünen,2021-10-26,2025-03-25,,262,Nürtingen,Landesliste,matthias-gastel.de
594,11005134,Max Lucks,1997-04-19,männlich,Grünen,2021-10-26,2025-03-25,Sozialwissenschaftler (B.A.),140,Bochum I,Landesliste,
