,id,full_name,birthdate,gender,party,profession,district_number,district_name,mandate,potential_handle
237,11004900,René Springer,15.07.1979,männlich,AfD,Politikwissenschaftler,59,Märkisch-Oderland – Barnim II,Direktwahl,
598,11005591,Robert Teske,08.03.1990,männlich,AfD,,195,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Direktwahl,
501,11005493,Robin Jünger,10.07.1996,männlich,AfD,"Unternehmer, gelernter Kaufmann",172,Gießen,Landesliste,
505,11005497,Rocco Kever,31.12.1979,männlich,AfD,Stellv. Geschäftsführer,40,Nienburg II – Schaumburg,Landesliste,
476,11005468,Ronald Gläser,16.12.1973,männlich,AfD,Journalist,75,Berlin-Pankow,Landesliste,
569,11005561,Ruben Rupp,28.05.1990,männlich,AfD,Gelernter Kaufmann im Einzelhandel / Wissenschaftlicher Referent,269,Backnang – Schwäbisch Gmünd,Landesliste,
206,11004807,Rüdiger Lucassen,19.08.1951,männlich,AfD,Mitglied des Deutschen Bundestag,91,Euskirchen – Rhein-Erft-Kreis II,Landesliste,
528,11005520,Sascha Lensing,13.09.1973,männlich,AfD,Polizeibeamter,115,Duisburg II,Landesliste,
529,11005521,Sebastian Maack,21.06.1969,männlich,AfD,Dipl.-Wirtschaftsingenieur,76,Berlin-Reinickendorf,Landesliste,
213,11004836,Sebastian Münzenmaier,02.07.1989,männlich,AfD,Finanzanlagen- und Versicherungsfachmann (IHK),208,Kaiserslautern,Landesliste,
537,11005529,Sergej Minich,18.03.1987,männlich,AfD,,54,Bremen I,Landesliste,
488,11005480,Stefan Henze,17.07.1965,männlich,AfD,Finanz/Bilanzbuchhalter,47,Hannover-Land II,Landesliste,
197,11004778,Stefan Keuter,19.08.1972,männlich,AfD,Bankkaufmann,119,Essen III,Landesliste,
540,11005532,Stefan Möller,23.03.1975,männlich,AfD,"Rechtsanwalt, Syndikusrechtsanwalt",189,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Direktwahl,
583,11005576,Stefan Schröder,30.05.1983,männlich,AfD,Historiker,190,Jena – Sömmerda – Weimarer Land I,Direktwahl,stefan56plus.bsky.social
306,11005092,Steffen Janich,22.01.1971,männlich,AfD,Polizist,157,Sächsische Schweiz-Osterzgebirge,Direktwahl,
201,11004791,Steffen Kotré,29.04.1971,männlich,AfD,Dipl.-Ingenieur,62,Dahme-Spreewald – Teltow-Fläming III,Direktwahl,
171,11004678,Stephan Brandner,29.05.1966,männlich,AfD,"Rechtsanwalt, Industriekaufmann",193,Gera – Greiz – Altenburger Land,Direktwahl,schwachi.bsky.social
223,11004858,Stephan Protschka,08.11.1977,männlich,AfD,selbständig,229,Rottal-Inn,Landesliste,
616,11005609,Sven Wendorf,14.02.1972,männlich,AfD,Verwaltungsfachangestellter,8,Segeberg – Stormarn-Mitte,Landesliste,
276,11005042,Thomas Dietz,12.03.1967,männlich,AfD,MdB,163,Erzgebirgskreis I,Direktwahl,thomasdietz.bsky.social
464,11005456,Thomas Fetsch,07.07.1969,männlich,AfD,,187,Bergstraße,Landesliste,
517,11005509,Thomas Korell,29.07.1983,männlich,AfD,Dachdecker,66,Altmark – Jerichower Land,Direktwahl,
524,11005516,Thomas Ladzinski,16.03.1989,männlich,AfD,"Dipl.-Ingenieur, Projektleiter Digitalisierung",158,Dresden I,Direktwahl,
592,11005585,Thomas Stephan,20.08.1970,männlich,AfD,Versicherungs- und Finanzanlagenfachmann,207,Neustadt – Speyer,Landesliste,thomasstephan.bsky.social
176,11004695,Tino Chrupalla,14.04.1975,männlich,AfD,Maler- und Lackierermeister,156,Görlitz,Direktwahl,tinochrupalla.bsky.social
454,11005446,Tobias Ebenberger,02.08.1990,männlich,AfD,Content Creator,96,Rhein-Sieg-Kreis I,Landesliste,
219,11004850,Tobias Matthias Peterka,04.09.1982,männlich,AfD,Jurist,236,Bayreuth,Landesliste,
597,11005590,Tobias Teich,06.01.1984,männlich,AfD,"Außenhandelskaufmann, Versicherungsfachmann",217,München-Ost,Landesliste,
437,11005429,Torben Braga,27.08.1991,männlich,AfD,Politikwissenschaftler,,,Landesliste,
188,11004743,Udo Theodor Hemmelgarn,04.05.1959,männlich,AfD,"Bauträger, Immobilienentwickler",134,Lippe I,Landesliste,
628,11005621,Ulrich Zons,11.09.1968,männlich,AfD,Rechtsanwalt,145,Soest,Landesliste,
227,11004873,Ulrike Schielke-Ziesing,17.06.1969,weiblich,AfD,"Deutsche Rentenversicherung, gehobener Dienst",17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Direktwahl,
234,11004888,Uwe Schulz,12.12.1961,männlich,AfD,Leitender Angestellter,,,Landesliste,reviersteiger.bsky.social
573,11005565,Volker Scheurell,01.01.1967,männlich,AfD,"Tischler, Dachdecker",70,Anhalt – Dessau – Wittenberg,Direktwahl,
245,11004933,Wolfgang Wiehle,20.10.1964,männlich,AfD,Dipl.-Informatiker,218,München-Süd,Landesliste,
76,11004106,Agnes Malczak,08.02.1985,weiblich,BÜNDNIS 90/DIE GRÜNEN,,294,Ravensburg,Landesliste,
257,11005011,Andreas Audretsch,25.06.1984,männlich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftler,81,Berlin-Neukölln,Landesliste,andreasaudretsch.de
91,11004245,Annalena Baerbock,15.12.1980,weiblich,BÜNDNIS 90/DIE GRÜNEN,Völkerrechtlerin,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social
382,11005237,Awet Tesfaiesus,05.10.1974,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,168,Werra-Meißner – Hersfeld-Rotenburg,Landesliste,awettesfaiesus.bsky.social
413,11005405,Ayse Asar,19.12.1975,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,177,Rheingau-Taunus – Limburg,Landesliste,ayseasar.bsky.social
340,11005155,Boris Mijatović,04.02.1974,männlich,BÜNDNIS 90/DIE GRÜNEN,Angestellter,167,Kassel,Landesliste,boris-mijatovic.bsky.social
40,11003764,Britta Haßelmann,10.12.1961,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialarbeiterin,131,Bielefeld – Gütersloh II,Landesliste,britta-hasselmann.de
320,11005111,Chantal Kopf,20.03.1995,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,281,Freiburg,Direktwahl,chantalkopf.bsky.social
211,11004830,Claudia Müller,10.08.1981,weiblich,BÜNDNIS 90/DIE GRÜNEN,Betriebswirtin,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Landesliste,gruenclaudia.bsky.social
11,11003212,Claudia Roth,15.05.1955,weiblich,BÜNDNIS 90/DIE GRÜNEN,,251,Augsburg-Stadt,Landesliste,claudiaroth.bsky.social
132,11004390,Corinna Rüffer,11.10.1975,weiblich,BÜNDNIS 90/DIE GRÜNEN,Poltikerin,202,Trier,Landesliste,corinna-rueffer.de
279,11005045,Deborah Düring,18.07.1994,weiblich,BÜNDNIS 90/DIE GRÜNEN,,181,Frankfurt am Main I,Landesliste,deborah-duering.de
328,11005133,Denise Loop,19.05.1994,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialarbeiterin,2,Nordfriesland – Dithmarschen Nord,Landesliste,denisegatito.bsky.social
409,11005401,Dr. Alaa Alhamwi,17.04.1984,männlich,BÜNDNIS 90/DIE GRÜNEN,Energieforscher,27,Oldenburg – Ammerland,Landesliste,alaa-alhamwi.bsky.social
25,11003585,Dr. Anna Lührmann,14.06.1983,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,180,Main-Taunus,Landesliste,
41,11003772,Dr. Anton Hofreiter,02.02.1970,männlich,BÜNDNIS 90/DIE GRÜNEN,Biologe,220,München-Land,Landesliste,
92,11004255,Dr. Franziska Brantner,24.08.1979,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftlerin,274,Heidelberg,Landesliste,
122,11004353,Dr. Irene Mihalic,17.11.1976,weiblich,BÜNDNIS 90/DIE GRÜNEN,Polizeibeamtin,122,Gelsenkirchen,Landesliste,
288,11005065,Dr. Jan-Niclas Gesenhues,12.02.1990,männlich,BÜNDNIS 90/DIE GRÜNEN,"Volkswirt, MdB",127,Steinfurt III,Landesliste,
251,11004962,Dr. Janosch Dahmen,06.09.1981,männlich,BÜNDNIS 90/DIE GRÜNEN,Arzt,138,Ennepe-Ruhr-Kreis II,Landesliste,
148,11004429,Dr. Julia Verlinden,18.01.1979,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Umweltwissenschaftlerin,37,Lüchow-Dannenberg – Lüneburg,Landesliste,wunderlicher.bsky.social
196,11004773,Dr. Kirsten Kappert-Gonther,03.11.1966,weiblich,BÜNDNIS 90/DIE GRÜNEN,Fachärztin für Psychatrie und Psychotherapie,54,Bremen I,Landesliste,
79,11004123,Dr. Konstantin Notz,21.01.1971,männlich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwalt,10,Herzogtum Lauenburg – Stormarn-Süd,Landesliste,
482,11005474,Dr. Lena Gumnior,10.12.1992,weiblich,BÜNDNIS 90/DIE GRÜNEN,Juristin/Rechtsanwältin,34,Osterholz – Verden,Landesliste,
492,11005484,Dr. Moritz Heuberger,11.02.1991,männlich,BÜNDNIS 90/DIE GRÜNEN,Verwaltungswissenschaftler,80,Berlin-Tempelhof-Schöneberg,Direktwahl,
348,11005167,Dr. Ophelia Nick,24.01.1973,weiblich,BÜNDNIS 90/DIE GRÜNEN,"Tierärztin, Bundestagsabgeordnete",104,Mettmann II,Landesliste,
353,11005180,Dr. Paula Piechotta,19.09.1986,weiblich,BÜNDNIS 90/DIE GRÜNEN,Ärztin,152,Leipzig II,Landesliste,paulapiechotta.de
296,11005074,Dr. Robert Habeck,02.09.1969,männlich,BÜNDNIS 90/DIE GRÜNEN,Schriftsteller,1,Flensburg – Schleswig,Landesliste,
274,11005039,Dr. Sandra Detzer,21.04.1980,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,265,Ludwigsburg,Landesliste,sandradetzer.bsky.social
366,11005201,Dr. Sebastian Schäfer,11.07.1979,männlich,BÜNDNIS 90/DIE GRÜNEN,Wirtschaftswissenschaftler,261,Esslingen,Landesliste,
377,11005228,Dr. Till Steffen,22.07.1973,männlich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwalt,20,Hamburg-Eimsbüttel,Direktwahl,
335,11005145,Dr. Zoe Mayer,07.08.1995,weiblich,BÜNDNIS 90/DIE GRÜNEN,Doktorin der Ingenieurwissenschaften (Dr.-Ing.),271,Karlsruhe-Stadt,Direktwahl,zoegruene.bsky.social
260,11005016,Felix Banaszak,24.10.1989,männlich,BÜNDNIS 90/DIE GRÜNEN,,115,Duisburg II,Landesliste,
222,11004857,Filiz Polat,11.07.1978,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Volkswirtin,38,Osnabrück-Land,Landesliste,filiz-polat.de
379,11005230,Hanna Steinmüller,09.04.1993,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftlerin,74,Berlin-Mitte,Direktwahl,hanna-steinmueller.de
88,11004215,Harald Ebner,08.07.1964,männlich,BÜNDNIS 90/DIE GRÜNEN,Agraringenieur,268,Schwäbisch Hall – Hohenlohe,Landesliste,ebnerharald.bsky.social
327,11005132,Helge Limburg,25.10.1982,männlich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Jurist,46,Hameln-Pyrmont – Holzminden,Landesliste,helgelimburg.bsky.social
365,11005200,Jamila Schäfer,30.04.1993,weiblich,BÜNDNIS 90/DIE GRÜNEN,Studentin der Soziologie,218,München-Süd,Landesliste,jamilaschaefer.bsky.social
448,11005440,Jeanne Dillschneider,27.12.1995,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,296,Saarbrücken,Landesliste,jeanne-marie-aline.bsky.social
390,11005248,Johannes Wagner,01.08.1991,männlich,BÜNDNIS 90/DIE GRÜNEN,Arzt,237,Coburg,Landesliste,yoohannes.bsky.social
581,11005573,Julia Schneider,05.03.1990,weiblich,BÜNDNIS 90/DIE GRÜNEN,Regierungsrätin a. D.,75,Berlin-Pankow,Direktwahl,jujuschneides.bsky.social
500,11005492,Julian Joswig,14.10.1993,männlich,BÜNDNIS 90/DIE GRÜNEN,Wirtschaftswissenschaftler,199,Mosel/Rhein-Hunsrück,Landesliste,julianjo.bsky.social
261,11005017,Karl Bär,13.03.1985,männlich,BÜNDNIS 90/DIE GRÜNEN,Agrarökonom,222,Bad Tölz-Wolfratshausen – Miesbach,Landesliste,karlbaer.bsky.social
349,11005172,Karoline Otte,11.09.1996,weiblich,BÜNDNIS 90/DIE GRÜNEN,Kreisinspektorin,52,Goslar – Northeim – Göttingen II,Landesliste,
363,11005197,Kassem Taher Saleh,01.06.1993,männlich,BÜNDNIS 90/DIE GRÜNEN,Bauingenieur,158,Dresden I,Landesliste,kassemtahersaleh.bsky.social
