,id,full_name,birthdate,gender,party,profession,district_number,district_name,mandate,potential_handle
463,11005455,Jan Feser,1985-03-01,männlich,AfD,Sozialjurist,177,Rheingau-Taunus – Limburg,Landesliste,
214,11004842,Jan Ralf Nolte,1988-12-30,männlich,AfD,Soldat,166,Waldeck,Landesliste,
371,11005210,Jan Wenzel Schmidt,1991-10-08,männlich,AfD,Handelsfachwirt,67,Börde – Salzlandkreis,Direktwahl,
427,11005419,Joachim Bloch,1963-08-02,männlich,AfD,Rechtsanwalt,285,Rottweil – Tuttlingen,Landesliste,
187,11004739,Jochen Haug,1973-01-11,männlich,AfD,Rechtsanwalt,94,Köln III,Landesliste,
530,11005522,Johann Martel,1979-02-16,männlich,AfD,Technischer Fachwirt,276,Odenwald – Tauber,Landesliste,
577,11005569,Julian Schmidt,1989-12-10,männlich,AfD,Wirtschaftsingenieur,170,Marburg,Landesliste,jvigil.bsky.social
626,11005619,Jörg Zirwes,1968-03-20,männlich,AfD,Berufssoldat a. D.,199,Mosel/Rhein-Hunsrück,Landesliste,
200,11004788,Jörn König,1967-10-29,männlich,AfD,"IT-Unternehmensberater, Dipl.-Ing. (MBA)",41,Stadt Hannover I,Landesliste,
511,11005503,Jürgen Koegel,1958-09-26,männlich,AfD,Dipl.-Bankbetriebswirt ADG,267,Heilbronn,Landesliste,
191,11004752,Karsten Hilse,1964-12-12,männlich,AfD,Polizeibeamter,155,Bautzen I,Direktwahl,
186,11004731,Kay Gottschalk,1965-12-12,männlich,AfD,Dipl.-Kaufmann,110,Viersen,Landesliste,
400,11005265,Kay-Uwe Ziegler,1963-10-27,männlich,AfD,Kaufmann / Geschäftsführer Textilhandel,73,Mansfeld,Direktwahl,
555,11005547,Kerstin Przygodda,1962-08-15,weiblich,AfD,Angestellte,11,Lübeck,Landesliste,
536,11005528,Knuth Meyer-Soltau,1965-03-13,männlich,AfD,Rechtsanwalt und Fachanwalt für Strafrecht,139,Bochum I,Landesliste,
506,11005498,Kurt Kleinschmidt,1967-02-07,männlich,AfD,Pensionär (Soldat a. D.),2,Nordfriesland – Dithmarschen Nord,Landesliste,
486,11005478,Lars Haise,1989-03-23,männlich,AfD,Lokomotivführer,264,Waiblingen,Landesliste,
574,11005566,Lars Schieske,1977-01-01,männlich,AfD,,64,Cottbus – Spree-Neiße,Direktwahl,
193,11004761,Leif-Erik Holm,1970-08-01,männlich,AfD,Ökonom (M. Sc.),12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Direktwahl,
560,11005552,Lukas Rehm,1990-02-05,männlich,AfD,Personalsachbearbeiter,215,Ingolstadt,Landesliste,
407,11005315,Manfred Schiller,1961-09-23,männlich,AfD,"Radio- und Fernsehtechniker, selbstständig",234,Weiden,Landesliste,
521,11005513,Manuel Krauthausen,1992-05-12,männlich,AfD,"Schornsteinfeger, Gebäude-Energieberater",,,Landesliste,
165,11004669,Marc Bernhard,1972-02-05,männlich,AfD,"Rechtsanwalt, MBA",271,Karlsruhe-Stadt,Landesliste,
556,11005548,Marcel Queckemeyer,1980-09-14,männlich,AfD,Industriekaufmann (Vertriebsleiter),38,Osnabrück-Land,Landesliste,
174,11004687,Marcus Bühl,1977-04-29,männlich,AfD,Dipl.-Informatiker (M. Sc.) (FH),191,Gotha – Ilm-Kreis,Direktwahl,
183,11004721,Markus Frohnmaier,1991-02-25,männlich,AfD,Pressesprecher,260,Böblingen,Landesliste,
531,11005523,Markus Matzerath,1970-12-03,männlich,AfD,Polizeivollzugsbeamter i.d. Bundespolizei,,,Landesliste,
225,11004862,Martin Erwin Renner,1954-05-05,männlich,AfD,Dipl.-Betriebswirt,103,Mettmann I,Landesliste,
190,11004749,Martin Hess,1971-01-11,männlich,AfD,Polizeihauptkommissar a. D.,265,Ludwigsburg,Landesliste,
224,11004859,Martin Reichardt,1969-07-30,männlich,AfD,"Offizier, Dipl.-Pädagoge",72,Burgenland – Saalekreis,Direktwahl,americanwatr.bsky.social
235,11004892,Martin Sichert,1980-06-10,männlich,AfD,Dipl.-Kaufmann,26,Friesland – Wilhelmshaven – Wittmund,Landesliste,
504,11005496,Martina Kempf,1964-03-31,weiblich,AfD,Juristin,281,Freiburg,Landesliste,
604,11005597,Martina Uhr,1961-03-26,weiblich,AfD,Medizinische Fachkraft,25,Unterems,Landesliste,
614,11005607,Mathias Weiser,1986-12-05,männlich,AfD,kaufmännischer Leiter,165,Vogtlandkreis,Direktwahl,
299,11005079,Matthias Helferich,1988-10-14,männlich,AfD,Rechtsanwalt,142,Dortmund II,Landesliste,
341,11005157,Matthias Moosdorf,1965-04-20,männlich,AfD,"Musiker, Hochschullehrer",164,Zwickau,Direktwahl,
563,11005555,Matthias Rentzsch,1977-09-23,männlich,AfD,,159,Dresden II – Bautzen II,Direktwahl,
507,11005499,Maximilian Kneller,1993-10-20,männlich,AfD,Wissenschaftlicher Mitarbeiter,131,Bielefeld – Gütersloh II,Landesliste,
462,11005454,Micha Fehre,1997-04-18,männlich,AfD,Unternehmer,42,Stadt Hannover II,Landesliste,
487,11005479,Mirco Hanker,1966-02-02,männlich,AfD,Dipl.-Kaufmann,50,Braunschweig,Landesliste,
491,11005483,Nicole Hess,1973-07-22,weiblich,AfD,"Industriekauffrau, Purser, Synchronsprecher",,,Landesliste,
192,11004753,Nicole Höchst,1970-02-10,weiblich,AfD,,200,Kreuznach,Landesliste,nicolehoechst-mdb.bsky.social
494,11005486,Olaf Hilmer,1972-02-17,männlich,AfD,Dipl.-Logistiker,,,Landesliste,svenolafhilmer.bsky.social
593,11005586,Otto Strauß,1954-02-19,männlich,AfD,Dachdeckermeister in Rente,,,Landesliste,
170,11004675,Peter Boehringer,1969-04-06,männlich,AfD,"Publizist, Kaufmann",231,Amberg,Landesliste,
431,11005423,Peter Bohnhof,1962-12-14,männlich,AfD,Rechtsanwalt,,,Landesliste,
182,11004714,Peter Felser,1969-09-20,männlich,AfD,Unternehmer,,,Landesliste,
525,11005517,Pierre Lamely,1981-01-12,männlich,AfD,"Heizungsmonteur, Assistent EU-Parlament (beurlaubt)",173,Fulda,Landesliste,
484,11005476,Prof. Dr. Ingo Hahn,1971-01-28,männlich,AfD,Professor,222,Bad Tölz-Wolfratshausen – Miesbach,Landesliste,
311,11005100,Prof. Dr. Michael Kaufmann,1964-04-21,männlich,AfD,"Ingenieur, Hochschullehrer",194,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Direktwahl,
572,11005564,Raimond Scheirich,1990-03-21,männlich,AfD,Umweltingenieur,251,Augsburg-Stadt,Landesliste,
470,11005462,Rainer Galla,1961-09-23,männlich,AfD,Volljurist,63,Frankfurt (Oder) – Oder-Spree,Direktwahl,
481,11005473,Rainer Groß,1960-08-09,männlich,AfD,Rechtsanwalt,,,Landesliste,rakaiser.bsky.social
539,11005531,Reinhard Mixl,1961-01-11,männlich,AfD,"Dipl.-Betriebswirt (FH), Wirtschaftsberater",233,Schwandorf,Landesliste,
266,11005026,René Bochmann,1969-02-04,männlich,AfD,Bürokaufmann,150,Nordsachsen,Direktwahl,
237,11004900,René Springer,1979-07-15,männlich,AfD,Politikwissenschaftler,59,Märkisch-Oderland – Barnim II,Direktwahl,
598,11005591,Robert Teske,1990-03-08,männlich,AfD,,195,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Direktwahl,
501,11005493,Robin Jünger,1996-07-10,männlich,AfD,"Unternehmer, gelernter Kaufmann",172,Gießen,Landesliste,
505,11005497,Rocco Kever,1979-12-31,männlich,AfD,Stellv. Geschäftsführer,40,Nienburg II – Schaumburg,Landesliste,
476,11005468,Ronald Gläser,1973-12-16,männlich,AfD,Journalist,75,Berlin-Pankow,Landesliste,
569,11005561,Ruben Rupp,1990-05-28,männlich,AfD,Gelernter Kaufmann im Einzelhandel / Wissenschaftlicher Referent,269,Backnang – Schwäbisch Gmünd,Landesliste,
206,11004807,Rüdiger Lucassen,1951-08-19,männlich,AfD,Mitglied des Deutschen Bundestag,91,Euskirchen – Rhein-Erft-Kreis II,Landesliste,
528,11005520,Sascha Lensing,1973-09-13,männlich,AfD,Polizeibeamter,115,Duisburg II,Landesliste,
529,11005521,Sebastian Maack,1969-06-21,männlich,AfD,Dipl.-Wirtschaftsingenieur,76,Berlin-Reinickendorf,Landesliste,
213,11004836,Sebastian Münzenmaier,1989-07-02,männlich,AfD,Finanzanlagen- und Versicherungsfachmann (IHK),208,Kaiserslautern,Landesliste,
537,11005529,Sergej Minich,1987-03-18,männlich,AfD,,54,Bremen I,Landesliste,
488,11005480,Stefan Henze,1965-07-17,männlich,AfD,Finanz/Bilanzbuchhalter,47,Hannover-Land II,Landesliste,
197,11004778,Stefan Keuter,1972-08-19,männlich,AfD,Bankkaufmann,119,Essen III,Landesliste,
540,11005532,Stefan Möller,1975-03-23,männlich,AfD,"Rechtsanwalt, Syndikusrechtsanwalt",189,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Direktwahl,
583,11005576,Stefan Schröder,1983-05-30,männlich,AfD,Historiker,190,Jena – Sömmerda – Weimarer Land I,Direktwahl,stefan56plus.bsky.social
306,11005092,Steffen Janich,1971-01-22,männlich,AfD,Polizist,157,Sächsische Schweiz-Osterzgebirge,Direktwahl,
201,11004791,Steffen Kotré,1971-04-29,männlich,AfD,Dipl.-Ingenieur,62,Dahme-Spreewald – Teltow-Fläming III,Direktwahl,
171,11004678,Stephan Brandner,1966-05-29,männlich,AfD,"Rechtsanwalt, Industriekaufmann",193,Gera – Greiz – Altenburger Land,Direktwahl,schwachi.bsky.social
223,11004858,Stephan Protschka,1977-11-08,männlich,AfD,selbständig,229,Rottal-Inn,Landesliste,
616,11005609,Sven Wendorf,1972-02-14,männlich,AfD,Verwaltungsfachangestellter,8,Segeberg – Stormarn-Mitte,Landesliste,
276,11005042,Thomas Dietz,1967-03-12,männlich,AfD,MdB,163,Erzgebirgskreis I,Direktwahl,thomasdietz.bsky.social
464,11005456,Thomas Fetsch,1969-07-07,männlich,AfD,,187,Bergstraße,Landesliste,
517,11005509,Thomas Korell,1983-07-29,männlich,AfD,Dachdecker,66,Altmark – Jerichower Land,Direktwahl,
524,11005516,Thomas Ladzinski,1989-03-16,männlich,AfD,"Dipl.-Ingenieur, Projektleiter Digitalisierung",158,Dresden I,Direktwahl,
592,11005585,Thomas Stephan,1970-08-20,männlich,AfD,Versicherungs- und Finanzanlagenfachmann,207,Neustadt – Speyer,Landesliste,thomasstephan.bsky.social
176,11004695,Tino Chrupalla,1975-04-14,männlich,AfD,Maler- und Lackierermeister,156,Görlitz,Direktwahl,tinochrupalla.bsky.social
454,11005446,Tobias Ebenberger,1990-08-02,männlich,AfD,Content Creator,96,Rhein-Sieg-Kreis I,Landesliste,
219,11004850,Tobias Matthias Peterka,1982-09-04,männlich,AfD,Jurist,236,Bayreuth,Landesliste,
597,11005590,Tobias Teich,1984-01-06,männlich,AfD,"Außenhandelskaufmann, Versicherungsfachmann",217,München-Ost,Landesliste,
437,11005429,Torben Braga,1991-08-27,männlich,AfD,Politikwissenschaftler,,,Landesliste,
188,11004743,Udo Theodor Hemmelgarn,1959-05-04,männlich,AfD,"Bauträger, Immobilienentwickler",134,Lippe I,Landesliste,
628,11005621,Ulrich Zons,1968-09-11,männlich,AfD,Rechtsanwalt,145,Soest,Landesliste,
227,11004873,Ulrike Schielke-Ziesing,1969-06-17,weiblich,AfD,"Deutsche Rentenversicherung, gehobener Dienst",17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Direktwahl,
234,11004888,Uwe Schulz,1961-12-12,männlich,AfD,Leitender Angestellter,,,Landesliste,reviersteiger.bsky.social
573,11005565,Volker Scheurell,1967-01-01,männlich,AfD,"Tischler, Dachdecker",70,Anhalt – Dessau – Wittenberg,Direktwahl,
245,11004933,Wolfgang Wiehle,1964-10-20,männlich,AfD,Dipl.-Informatiker,218,München-Süd,Landesliste,
76,11004106,Agnes Malczak,1985-02-08,weiblich,BÜNDNIS 90/DIE GRÜNEN,,294,Ravensburg,Landesliste,
257,11005011,Andreas Audretsch,1984-06-25,männlich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftler,81,Berlin-Neukölln,Landesliste,andreasaudretsch.de
91,11004245,Annalena Baerbock,1980-12-15,weiblich,BÜNDNIS 90/DIE GRÜNEN,Völkerrechtlerin,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social
382,11005237,Awet Tesfaiesus,1974-10-05,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,168,Werra-Meißner – Hersfeld-Rotenburg,Landesliste,awettesfaiesus.bsky.social
413,11005405,Ayse Asar,1975-12-19,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,177,Rheingau-Taunus – Limburg,Landesliste,ayseasar.bsky.social
340,11005155,Boris Mijatović,1974-02-04,männlich,BÜNDNIS 90/DIE GRÜNEN,Angestellter,167,Kassel,Landesliste,boris-mijatovic.bsky.social
40,11003764,Britta Haßelmann,1961-12-10,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialarbeiterin,131,Bielefeld – Gütersloh II,Landesliste,britta-hasselmann.de
320,11005111,Chantal Kopf,1995-03-20,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,281,Freiburg,Direktwahl,chantalkopf.bsky.social
211,11004830,Claudia Müller,1981-08-10,weiblich,BÜNDNIS 90/DIE GRÜNEN,Betriebswirtin,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Landesliste,gruenclaudia.bsky.social
11,11003212,Claudia Roth,1955-05-15,weiblich,BÜNDNIS 90/DIE GRÜNEN,,251,Augsburg-Stadt,Landesliste,claudiaroth.bsky.social
132,11004390,Corinna Rüffer,1975-10-11,weiblich,BÜNDNIS 90/DIE GRÜNEN,Poltikerin,202,Trier,Landesliste,corinna-rueffer.de
279,11005045,Deborah Düring,1994-07-18,weiblich,BÜNDNIS 90/DIE GRÜNEN,,181,Frankfurt am Main I,Landesliste,deborah-duering.de
328,11005133,Denise Loop,1994-05-19,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialarbeiterin,2,Nordfriesland – Dithmarschen Nord,Landesliste,denisegatito.bsky.social
409,11005401,Dr. Alaa Alhamwi,1984-04-17,männlich,BÜNDNIS 90/DIE GRÜNEN,Energieforscher,27,Oldenburg – Ammerland,Landesliste,alaa-alhamwi.bsky.social
25,11003585,Dr. Anna Lührmann,1983-06-14,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,180,Main-Taunus,Landesliste,
41,11003772,Dr. Anton Hofreiter,1970-02-02,männlich,BÜNDNIS 90/DIE GRÜNEN,Biologe,220,München-Land,Landesliste,
92,11004255,Dr. Franziska Brantner,1979-08-24,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftlerin,274,Heidelberg,Landesliste,
122,11004353,Dr. Irene Mihalic,1976-11-17,weiblich,BÜNDNIS 90/DIE GRÜNEN,Polizeibeamtin,122,Gelsenkirchen,Landesliste,
288,11005065,Dr. Jan-Niclas Gesenhues,1990-02-12,männlich,BÜNDNIS 90/DIE GRÜNEN,"Volkswirt, MdB",127,Steinfurt III,Landesliste,
251,11004962,Dr. Janosch Dahmen,1981-09-06,männlich,BÜNDNIS 90/DIE GRÜNEN,Arzt,138,Ennepe-Ruhr-Kreis II,Landesliste,
148,11004429,Dr. Julia Verlinden,1979-01-18,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Umweltwissenschaftlerin,37,Lüchow-Dannenberg – Lüneburg,Landesliste,wunderlicher.bsky.social
196,11004773,Dr. Kirsten Kappert-Gonther,1966-11-03,weiblich,BÜNDNIS 90/DIE GRÜNEN,Fachärztin für Psychatrie und Psychotherapie,54,Bremen I,Landesliste,
79,11004123,Dr. Konstantin Notz,1971-01-21,männlich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwalt,10,Herzogtum Lauenburg – Stormarn-Süd,Landesliste,
482,11005474,Dr. Lena Gumnior,1992-12-10,weiblich,BÜNDNIS 90/DIE GRÜNEN,Juristin/Rechtsanwältin,34,Osterholz – Verden,Landesliste,
492,11005484,Dr. Moritz Heuberger,1991-02-11,männlich,BÜNDNIS 90/DIE GRÜNEN,Verwaltungswissenschaftler,80,Berlin-Tempelhof-Schöneberg,Direktwahl,
348,11005167,Dr. Ophelia Nick,1973-01-24,weiblich,BÜNDNIS 90/DIE GRÜNEN,"Tierärztin, Bundestagsabgeordnete",104,Mettmann II,Landesliste,
353,11005180,Dr. Paula Piechotta,1986-09-19,weiblich,BÜNDNIS 90/DIE GRÜNEN,Ärztin,152,Leipzig II,Landesliste,paulapiechotta.de
296,11005074,Dr. Robert Habeck,1969-09-02,männlich,BÜNDNIS 90/DIE GRÜNEN,Schriftsteller,1,Flensburg – Schleswig,Landesliste,
274,11005039,Dr. Sandra Detzer,1980-04-21,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,265,Ludwigsburg,Landesliste,sandradetzer.bsky.social
366,11005201,Dr. Sebastian Schäfer,1979-07-11,männlich,BÜNDNIS 90/DIE GRÜNEN,Wirtschaftswissenschaftler,261,Esslingen,Landesliste,
377,11005228,Dr. Till Steffen,1973-07-22,männlich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwalt,20,Hamburg-Eimsbüttel,Direktwahl,
335,11005145,Dr. Zoe Mayer,1995-08-07,weiblich,BÜNDNIS 90/DIE GRÜNEN,Doktorin der Ingenieurwissenschaften (Dr.-Ing.),271,Karlsruhe-Stadt,Direktwahl,zoegruene.bsky.social
260,11005016,Felix Banaszak,1989-10-24,männlich,BÜNDNIS 90/DIE GRÜNEN,,115,Duisburg II,Landesliste,
222,11004857,Filiz Polat,1978-07-11,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Volkswirtin,38,Osnabrück-Land,Landesliste,filiz-polat.de
379,11005230,Hanna Steinmüller,1993-04-09,weiblich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftlerin,74,Berlin-Mitte,Direktwahl,hanna-steinmueller.de
88,11004215,Harald Ebner,1964-07-08,männlich,BÜNDNIS 90/DIE GRÜNEN,Agraringenieur,268,Schwäbisch Hall – Hohenlohe,Landesliste,ebnerharald.bsky.social
327,11005132,Helge Limburg,1982-10-25,männlich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Jurist,46,Hameln-Pyrmont – Holzminden,Landesliste,helgelimburg.bsky.social
365,11005200,Jamila Schäfer,1993-04-30,weiblich,BÜNDNIS 90/DIE GRÜNEN,Studentin der Soziologie,218,München-Süd,Landesliste,jamilaschaefer.bsky.social
448,11005440,Jeanne Dillschneider,1995-12-27,weiblich,BÜNDNIS 90/DIE GRÜNEN,Rechtsanwältin,296,Saarbrücken,Landesliste,jeanne-marie-aline.bsky.social
390,11005248,Johannes Wagner,1991-08-01,männlich,BÜNDNIS 90/DIE GRÜNEN,Arzt,237,Coburg,Landesliste,yoohannes.bsky.social
581,11005573,Julia Schneider,1990-03-05,weiblich,BÜNDNIS 90/DIE GRÜNEN,Regierungsrätin a. D.,75,Berlin-Pankow,Direktwahl,jujuschneides.bsky.social
500,11005492,Julian Joswig,1993-10-14,männlich,BÜNDNIS 90/DIE GRÜNEN,Wirtschaftswissenschaftler,199,Mosel/Rhein-Hunsrück,Landesliste,julianjo.bsky.social
261,11005017,Karl Bär,1985-03-13,männlich,BÜNDNIS 90/DIE GRÜNEN,Agrarökonom,222,Bad Tölz-Wolfratshausen – Miesbach,Landesliste,karlbaer.bsky.social
349,11005172,Karoline Otte,1996-09-11,weiblich,BÜNDNIS 90/DIE GRÜNEN,Kreisinspektorin,52,Goslar – Northeim – Göttingen II,Landesliste,
363,11005197,Kassem Taher Saleh,1993-06-01,männlich,BÜNDNIS 90/DIE GRÜNEN,Bauingenieur,158,Dresden I,Landesliste,kassemtahersaleh.bsky.social
