,id,full_name,birthdate,gender,faction,faction_start,faction_end,profession,district_number,district_name,mandate,potential_handle
622,11005613,Dr. Alexander Wolf,1967-04-19,männlich,AfD,2025-03-25,,Rechtsanwalt,20,Hamburg-Eimsbüttel,Landesliste,
245,11004930,Dr. Alice Weidel,1979-02-06,weiblich,AfD,2025-03-25,,"Dipl.-Kauffrau, Dipl.-Volkswirtin",293,Bodensee,Landesliste,
525,11005515,Dr. Anna Rathert,1977-04-29,weiblich,AfD,2025-03-25,,Rechtsanwältin,120,Recklinghausen I,Landesliste,
165,11004662,Dr. Bernd Baumann,1958-01-31,männlich,AfD,2025-03-25,,Kaufmann,19,Hamburg-Altona,Landesliste,
247,11004936,Dr. Christian Wirth,1963-04-27,männlich,AfD,2025-03-25,,Rechtsanwalt,,,Landesliste,
263,11005018,Dr. Christina Baum,1956-03-21,weiblich,AfD,2025-03-25,,Zahnärztin,68,Harz,Direktwahl,
427,11005418,Dr. Christoph Birghan,1970-06-23,männlich,AfD,2025-03-25,,Patentanwalt,224,Traunstein,Landesliste,
625,11005616,Dr. Daniel Zerbin,1973-02-01,männlich,AfD,2025-03-25,,Kriminalwissenschaftler,140,Herne – Bochum II,Landesliste,
178,11004698,Dr. Gottfried Curio,1960-09-02,männlich,AfD,2025-03-25,,,84,Berlin-Marzahn-Hellersdorf,Direktwahl,
185,11004722,Dr. Götz Frömming,1968-08-30,männlich,AfD,2025-03-25,,Gymnasiallehrer,56,Prignitz – Ostprignitz-Ruppin – Havelland I,Direktwahl,
311,11005099,Dr. Malte Kaufmann,1976-12-14,männlich,AfD,2025-03-25,,"Dipl.-Volkswirt, Unternehmer",274,Heidelberg,Landesliste,
522,11005512,Dr. Maximilian Krah,1977-01-28,männlich,AfD,2025-03-25,,Volljurist,162,Chemnitzer Umland – Erzgebirgskreis II,Direktwahl,krahmax.bsky.social
429,11005420,Dr. Michael Blos,1976-03-03,männlich,AfD,2025-03-25,,Dipl. Geologe,283,Emmendingen – Lahr,Landesliste,
182,11004711,Dr. Michael Espendiller,1989-05-05,männlich,AfD,2025-03-25,,"Mathematiker, Volkswirt",125,Borken II,Landesliste,
582,11005572,Dr. Paul Schmidt,1966-01-04,männlich,AfD,2025-03-25,,Physiker,,,Landesliste,
203,11004792,Dr. Rainer Kraft,1974-01-08,männlich,AfD,2025-03-25,,Dipl.-Chemiker,,,Landesliste,
406,11005305,Dr. Rainer Rothfuß,1971-04-19,männlich,AfD,2025-03-25,,Geopolitik-Analyst,256,Oberallgäu,Landesliste,
348,11005166,Edgar Naujok,1960-06-25,männlich,AfD,2025-03-25,,Unternehmer,153,Leipzig-Land,Direktwahl,
200,11004787,Enrico Komning,1968-08-06,männlich,AfD,2025-03-25,,Rechtsanwalt,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Direktwahl,
442,11005433,Erhard Brucker,1972-10-28,männlich,AfD,2025-03-25,,Unternehmer,228,Passau,Landesliste,
195,11004767,Fabian Jacobi,1973-06-19,männlich,AfD,2025-03-25,,Rechtsanwalt,92,Köln I,Landesliste,
586,11005577,Georg Schroeter,1950-08-26,männlich,AfD,2025-03-25,,Diplom-Ingenieur; selbständig,144,Hamm – Unna II,Landesliste,
268,11005029,Gereon Bollmann,1953-11-20,männlich,AfD,2025-03-25,,Richter am Oberlandesgericht a. D.,4,Rendsburg-Eckernförde,Landesliste,
218,11004846,Gerold Otten,1955-12-07,männlich,AfD,2025-03-25,,Berufssoldat a. D.,220,München-Land,Landesliste,
306,11005091,Gerrit Huy,1953-05-13,weiblich,AfD,2025-03-25,,Diplommathematikerin,225,Weilheim,Landesliste,
290,11005066,Hannes Gnauck,1991-08-08,männlich,AfD,2025-03-25,,Soldat auf Zeit,57,Uckermark – Barnim I,Direktwahl,
478,11005469,Hans-Jürgen Goßner,1970-11-17,männlich,AfD,2025-03-25,,"Industriemeister für Elektrotechnik (IHK), Technischer Einkäufer",263,Göppingen,Landesliste,
467,11005458,Hauke Finger,1968-08-17,männlich,AfD,2025-03-25,,Bankbetriebswirt,113,Krefeld II – Wesel II,Landesliste,
512,11005502,Heinrich Koch,1962-03-08,männlich,AfD,2025-03-25,,Sachverständiger für Unfallrekonstruktion,275,Mannheim,Landesliste,fparan.bsky.social
545,11005535,Iris Nieland,1960-06-20,weiblich,AfD,2025-03-25,,,209,Pirmasens,Landesliste,
464,11005455,Jan Feser,1985-03-01,männlich,AfD,2025-03-25,,Sozialjurist,177,Rheingau-Taunus – Limburg,Landesliste,
215,11004842,Jan Ralf Nolte,1988-12-30,männlich,AfD,2025-03-25,,Soldat,166,Waldeck,Landesliste,
372,11005210,Jan Wenzel Schmidt,1991-10-08,männlich,AfD,2025-03-25,,Handelsfachwirt,67,Börde – Salzlandkreis,Direktwahl,
428,11005419,Joachim Bloch,1963-08-02,männlich,AfD,2025-03-25,,Rechtsanwalt,285,Rottweil – Tuttlingen,Landesliste,
188,11004739,Jochen Haug,1973-01-11,männlich,AfD,2025-03-25,,Rechtsanwalt,94,Köln III,Landesliste,
532,11005522,Johann Martel,1979-02-16,männlich,AfD,2025-03-25,,Technischer Fachwirt,276,Odenwald – Tauber,Landesliste,
579,11005569,Julian Schmidt,1989-12-10,männlich,AfD,2025-03-25,,Wirtschaftsingenieur,170,Marburg,Landesliste,jvigil.bsky.social
628,11005619,Jörg Zirwes,1968-03-20,männlich,AfD,2025-03-25,,Berufssoldat a. D.,199,Mosel/Rhein-Hunsrück,Landesliste,
201,11004788,Jörn König,1967-10-29,männlich,AfD,2025-03-25,,"IT-Unternehmensberater, Dipl.-Ing. (MBA)",41,Stadt Hannover I,Landesliste,
513,11005503,Jürgen Koegel,1958-09-26,männlich,AfD,2025-03-25,,Dipl.-Bankbetriebswirt ADG,267,Heilbronn,Landesliste,
192,11004752,Karsten Hilse,1964-12-12,männlich,AfD,2025-03-25,,Polizeibeamter,155,Bautzen I,Direktwahl,
187,11004731,Kay Gottschalk,1965-12-12,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,110,Viersen,Landesliste,
401,11005265,Kay-Uwe Ziegler,1963-10-27,männlich,AfD,2025-03-25,,Kaufmann / Geschäftsführer Textilhandel,73,Mansfeld,Direktwahl,
557,11005547,Kerstin Przygodda,1962-08-15,weiblich,AfD,2025-03-25,,Angestellte,11,Lübeck,Landesliste,
538,11005528,Knuth Meyer-Soltau,1965-03-13,männlich,AfD,2025-03-25,,Rechtsanwalt und Fachanwalt für Strafrecht,139,Bochum I,Landesliste,
507,11005498,Kurt Kleinschmidt,1967-02-07,männlich,AfD,2025-03-25,,Pensionär (Soldat a. D.),2,Nordfriesland – Dithmarschen Nord,Landesliste,
487,11005478,Lars Haise,1989-03-23,männlich,AfD,2025-03-25,,Lokomotivführer,264,Waiblingen,Landesliste,
576,11005566,Lars Schieske,1977-01-01,männlich,AfD,2025-03-25,,,64,Cottbus – Spree-Neiße,Direktwahl,
194,11004761,Leif-Erik Holm,1970-08-01,männlich,AfD,2025-03-25,,Ökonom (M. Sc.),12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Direktwahl,
562,11005552,Lukas Rehm,1990-02-05,männlich,AfD,2025-03-25,,Personalsachbearbeiter,215,Ingolstadt,Landesliste,
408,11005315,Manfred Schiller,1961-09-23,männlich,AfD,2025-03-25,,"Radio- und Fernsehtechniker, selbstständig",234,Weiden,Landesliste,
523,11005513,Manuel Krauthausen,1992-05-12,männlich,AfD,2025-03-25,,"Schornsteinfeger, Gebäude-Energieberater",,,Landesliste,
166,11004669,Marc Bernhard,1972-02-05,männlich,AfD,2025-03-25,,"Rechtsanwalt, MBA",271,Karlsruhe-Stadt,Landesliste,
558,11005548,Marcel Queckemeyer,1980-09-14,männlich,AfD,2025-03-25,,Industriekaufmann (Vertriebsleiter),38,Osnabrück-Land,Landesliste,
175,11004687,Marcus Bühl,1977-04-29,männlich,AfD,2025-03-25,,Dipl.-Informatiker (M. Sc.) (FH),191,Gotha – Ilm-Kreis,Direktwahl,
184,11004721,Markus Frohnmaier,1991-02-25,männlich,AfD,2025-03-25,,Pressesprecher,260,Böblingen,Landesliste,
533,11005523,Markus Matzerath,1970-12-03,männlich,AfD,2025-03-25,,Polizeivollzugsbeamter i.d. Bundespolizei,,,Landesliste,
226,11004862,Martin Erwin Renner,1954-05-05,männlich,AfD,2025-03-25,,Dipl.-Betriebswirt,103,Mettmann I,Landesliste,
191,11004749,Martin Hess,1971-01-11,männlich,AfD,2025-03-25,,Polizeihauptkommissar a. D.,265,Ludwigsburg,Landesliste,
225,11004859,Martin Reichardt,1969-07-30,männlich,AfD,2025-03-25,,"Offizier, Dipl.-Pädagoge",72,Burgenland – Saalekreis,Direktwahl,americanwatr.bsky.social
236,11004892,Martin Sichert,1980-06-10,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,26,Friesland – Wilhelmshaven – Wittmund,Landesliste,
505,11005496,Martina Kempf,1964-03-31,weiblich,AfD,2025-03-25,,Juristin,281,Freiburg,Landesliste,
606,11005597,Martina Uhr,1961-03-26,weiblich,AfD,2025-03-25,,Medizinische Fachkraft,25,Unterems,Landesliste,
616,11005607,Mathias Weiser,1986-12-05,männlich,AfD,2025-03-25,,kaufmännischer Leiter,165,Vogtlandkreis,Direktwahl,
300,11005079,Matthias Helferich,1988-10-14,männlich,AfD,2025-03-25,,Rechtsanwalt,142,Dortmund II,Landesliste,
342,11005157,Matthias Moosdorf,1965-04-20,männlich,AfD,2025-03-25,,"Musiker, Hochschullehrer",164,Zwickau,Direktwahl,
565,11005555,Matthias Rentzsch,1977-09-23,männlich,AfD,2025-03-25,,,159,Dresden II – Bautzen II,Direktwahl,
508,11005499,Maximilian Kneller,1993-10-20,männlich,AfD,2025-03-25,,Wissenschaftlicher Mitarbeiter,131,Bielefeld – Gütersloh II,Landesliste,
463,11005454,Micha Fehre,1997-04-18,männlich,AfD,2025-03-25,,Unternehmer,42,Stadt Hannover II,Landesliste,
488,11005479,Mirco Hanker,1966-02-02,männlich,AfD,2025-03-25,,Dipl.-Kaufmann,50,Braunschweig,Landesliste,
492,11005483,Nicole Hess,1973-07-22,weiblich,AfD,2025-03-25,,"Industriekauffrau, Purser, Synchronsprecher",,,Landesliste,
193,11004753,Nicole Höchst,1970-02-10,weiblich,AfD,2025-03-25,,,200,Kreuznach,Landesliste,nicolehoechst-mdb.bsky.social
495,11005486,Olaf Hilmer,1972-02-17,männlich,AfD,2025-03-25,,Dipl.-Logistiker,,,Landesliste,svenolafhilmer.bsky.social
595,11005586,Otto Strauß,1954-02-19,männlich,AfD,2025-03-25,,Dachdeckermeister in Rente,,,Landesliste,
171,11004675,Peter Boehringer,1969-04-06,männlich,AfD,2025-03-25,,"Publizist, Kaufmann",231,Amberg,Landesliste,
432,11005423,Peter Bohnhof,1962-12-14,männlich,AfD,2025-03-25,,Rechtsanwalt,,,Landesliste,
183,11004714,Peter Felser,1969-09-20,männlich,AfD,2025-03-25,,Unternehmer,,,Landesliste,
527,11005517,Pierre Lamely,1981-01-12,männlich,AfD,2025-03-25,,"Heizungsmonteur, Assistent EU-Parlament (beurlaubt)",173,Fulda,Landesliste,
485,11005476,Prof. Dr. Ingo Hahn,1971-01-28,männlich,AfD,2025-03-25,,Professor,222,Bad Tölz-Wolfratshausen – Miesbach,Landesliste,
312,11005100,Prof. Dr. Michael Kaufmann,1964-04-21,männlich,AfD,2025-03-25,,"Ingenieur, Hochschullehrer",194,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Direktwahl,
574,11005564,Raimond Scheirich,1990-03-21,männlich,AfD,2025-03-25,,Umweltingenieur,251,Augsburg-Stadt,Landesliste,
471,11005462,Rainer Galla,1961-09-23,männlich,AfD,2025-03-25,,Volljurist,63,Frankfurt (Oder) – Oder-Spree,Direktwahl,
482,11005473,Rainer Groß,1960-08-09,männlich,AfD,2025-03-25,,Rechtsanwalt,,,Landesliste,rakaiser.bsky.social
541,11005531,Reinhard Mixl,1961-01-11,männlich,AfD,2025-03-25,,"Dipl.-Betriebswirt (FH), Wirtschaftsberater",233,Schwandorf,Landesliste,
267,11005026,René Bochmann,1969-02-04,männlich,AfD,2025-03-25,,Bürokaufmann,150,Nordsachsen,Direktwahl,
238,11004900,René Springer,1979-07-15,männlich,AfD,2025-03-25,,Politikwissenschaftler,59,Märkisch-Oderland – Barnim II,Direktwahl,
600,11005591,Robert Teske,1990-03-08,männlich,AfD,2025-03-25,,,195,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Direktwahl,
502,11005493,Robin Jünger,1996-07-10,männlich,AfD,2025-03-25,,"Unternehmer, gelernter Kaufmann",172,Gießen,Landesliste,
506,11005497,Rocco Kever,1979-12-31,männlich,AfD,2025-03-25,,Stellv. Geschäftsführer,40,Nienburg II – Schaumburg,Landesliste,
477,11005468,Ronald Gläser,1973-12-16,männlich,AfD,2025-03-25,,Journalist,75,Berlin-Pankow,Landesliste,
571,11005561,Ruben Rupp,1990-05-28,männlich,AfD,2025-03-25,,Gelernter Kaufmann im Einzelhandel / Wissenschaftlicher Referent,269,Backnang – Schwäbisch Gmünd,Landesliste,
207,11004807,Rüdiger Lucassen,1951-08-19,männlich,AfD,2025-03-25,,Mitglied des Deutschen Bundestag,91,Euskirchen – Rhein-Erft-Kreis II,Landesliste,
530,11005520,Sascha Lensing,1973-09-13,männlich,AfD,2025-03-25,,Polizeibeamter,115,Duisburg II,Landesliste,
531,11005521,Sebastian Maack,1969-06-21,männlich,AfD,2025-03-25,,Dipl.-Wirtschaftsingenieur,76,Berlin-Reinickendorf,Landesliste,
214,11004836,Sebastian Münzenmaier,1989-07-02,männlich,AfD,2025-03-25,,Finanzanlagen- und Versicherungsfachmann (IHK),208,Kaiserslautern,Landesliste,
539,11005529,Sergej Minich,1987-03-18,männlich,AfD,2025-03-25,,,54,Bremen I,Landesliste,
509,11005500,Sieghard Knodel,1961-02-13,männlich,AfD,2025-03-25,,"Betriebswirt, Landmaschinenmeister",,,Landesliste,
489,11005480,Stefan Henze,1965-07-17,männlich,AfD,2025-03-25,,Finanz/Bilanzbuchhalter,47,Hannover-Land II,Landesliste,
198,11004778,Stefan Keuter,1972-08-19,männlich,AfD,2025-03-25,,Bankkaufmann,119,Essen III,Landesliste,
542,11005532,Stefan Möller,1975-03-23,männlich,AfD,2025-03-25,,"Rechtsanwalt, Syndikusrechtsanwalt",189,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Direktwahl,
585,11005576,Stefan Schröder,1983-05-30,männlich,AfD,2025-03-25,,Historiker,190,Jena – Sömmerda – Weimarer Land I,Direktwahl,stefan56plus.bsky.social
307,11005092,Steffen Janich,1971-01-22,männlich,AfD,2025-03-25,,Polizist,157,Sächsische Schweiz-Osterzgebirge,Direktwahl,
202,11004791,Steffen Kotré,1971-04-29,männlich,AfD,2025-03-25,,Dipl.-Ingenieur,62,Dahme-Spreewald – Teltow-Fläming III,Direktwahl,
172,11004678,Stephan Brandner,1966-05-29,männlich,AfD,2025-03-25,,"Rechtsanwalt, Industriekaufmann",193,Gera – Greiz – Altenburger Land,Direktwahl,schwachi.bsky.social
224,11004858,Stephan Protschka,1977-11-08,männlich,AfD,2025-03-25,,selbständig,229,Rottal-Inn,Landesliste,
618,11005609,Sven Wendorf,1972-02-14,männlich,AfD,2025-03-25,,Verwaltungsfachangestellter,8,Segeberg – Stormarn-Mitte,Landesliste,
277,11005042,Thomas Dietz,1967-03-12,männlich,AfD,2025-03-25,,MdB,163,Erzgebirgskreis I,Direktwahl,thomasdietz.bsky.social
465,11005456,Thomas Fetsch,1969-07-07,männlich,AfD,2025-03-25,,,187,Bergstraße,Landesliste,
519,11005509,Thomas Korell,1983-07-29,männlich,AfD,2025-03-25,,Dachdecker,66,Altmark – Jerichower Land,Direktwahl,
526,11005516,Thomas Ladzinski,1989-03-16,männlich,AfD,2025-03-25,,"Dipl.-Ingenieur, Projektleiter Digitalisierung",158,Dresden I,Direktwahl,
594,11005585,Thomas Stephan,1970-08-20,männlich,AfD,2025-03-25,,Versicherungs- und Finanzanlagenfachmann,207,Neustadt – Speyer,Landesliste,thomasstephan.bsky.social
177,11004695,Tino Chrupalla,1975-04-14,männlich,AfD,2025-03-25,,Maler- und Lackierermeister,156,Görlitz,Direktwahl,tinochrupalla.bsky.social
455,11005446,Tobias Ebenberger,1990-08-02,männlich,AfD,2025-03-25,,Content Creator,96,Rhein-Sieg-Kreis I,Landesliste,
220,11004850,Tobias Matthias Peterka,1982-09-04,männlich,AfD,2025-03-25,,Jurist,236,Bayreuth,Landesliste,
599,11005590,Tobias Teich,1984-01-06,männlich,AfD,2025-03-25,,"Außenhandelskaufmann, Versicherungsfachmann",217,München-Ost,Landesliste,
438,11005429,Torben Braga,1991-08-27,männlich,AfD,2025-03-25,,Politikwissenschaftler,,,Landesliste,
189,11004743,Udo Theodor Hemmelgarn,1959-05-04,männlich,AfD,2025-03-25,,"Bauträger, Immobilienentwickler",134,Lippe I,Landesliste,
630,11005621,Ulrich Zons,1968-09-11,männlich,AfD,2025-03-25,,Rechtsanwalt,145,Soest,Landesliste,
228,11004873,Ulrike Schielke-Ziesing,1969-06-17,weiblich,AfD,2025-03-25,,"Deutsche Rentenversicherung, gehobener Dienst",17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Direktwahl,
235,11004888,Uwe Schulz,1961-12-12,männlich,AfD,2025-03-25,,Leitender Angestellter,,,Landesliste,reviersteiger.bsky.social
575,11005565,Volker Scheurell,1967-01-01,männlich,AfD,2025-03-25,,"Tischler, Dachdecker",70,Anhalt – Dessau – Wittenberg,Direktwahl,
246,11004933,Wolfgang Wiehle,1964-10-20,männlich,AfD,2025-03-25,,Dipl.-Informatiker,218,München-Süd,Landesliste,
76,11004106,Agnes Malczak,1985-02-08,weiblich,Grünen,2025-03-25,,,294,Ravensburg,Landesliste,
258,11005011,Andreas Audretsch,1984-06-25,männlich,Grünen,2025-03-25,,Sozialwissenschaftler,81,Berlin-Neukölln,Landesliste,andreasaudretsch.de
91,11004245,Annalena Baerbock,1980-12-15,weiblich,Grünen,2025-03-25,,Völkerrechtlerin,61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Landesliste,albaerbock.bsky.social
383,11005237,Awet Tesfaiesus,1974-10-05,weiblich,Grünen,2025-03-25,,Rechtsanwältin,168,Werra-Meißner – Hersfeld-Rotenburg,Landesliste,awettesfaiesus.bsky.social
414,11005405,Ayse Asar,1975-12-19,weiblich,Grünen,2025-03-25,,Rechtsanwältin,177,Rheingau-Taunus – Limburg,Landesliste,ayseasar.bsky.social
341,11005155,Boris Mijatović,1974-02-04,männlich,Grünen,2025-03-25,,Angestellter,167,Kassel,Landesliste,boris-mijatovic.bsky.social
40,11003764,Britta Haßelmann,1961-12-10,weiblich,Grünen,2025-03-24,,Sozialarbeiterin,131,Bielefeld – Gütersloh II,Landesliste,britta-hasselmann.de
321,11005111,Chantal Kopf,1995-03-20,weiblich,Grünen,2025-03-25,,Politikwissenschaftlerin,281,Freiburg,Direktwahl,chantalkopf.bsky.social
212,11004830,Claudia Müller,1981-08-10,weiblich,Grünen,2025-03-25,,Betriebswirtin,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Landesliste,gruenclaudia.bsky.social
11,11003212,Claudia Roth,1955-05-15,weiblich,Grünen,2025-03-25,,,251,Augsburg-Stadt,Landesliste,claudiaroth.bsky.social
133,11004390,Corinna Rüffer,1975-10-11,weiblich,Grünen,2025-03-25,,Poltikerin,202,Trier,Landesliste,corinna-rueffer.de
280,11005045,Deborah Düring,1994-07-18,weiblich,Grünen,2025-03-25,,,181,Frankfurt am Main I,Landesliste,deborah-duering.de
329,11005133,Denise Loop,1994-05-19,weiblich,Grünen,2025-03-25,,Sozialarbeiterin,2,Nordfriesland – Dithmarschen Nord,Landesliste,denisegatito.bsky.social
410,11005401,Dr. Alaa Alhamwi,1984-04-17,männlich,Grünen,2025-03-25,,Energieforscher,27,Oldenburg – Ammerland,Landesliste,alaa-alhamwi.bsky.social
25,11003585,Dr. Anna Lührmann,1983-06-14,weiblich,Grünen,2025-03-25,,Politikwissenschaftlerin,180,Main-Taunus,Landesliste,
41,11003772,Dr. Anton Hofreiter,1970-02-02,männlich,Grünen,2025-03-25,,Biologe,220,München-Land,Landesliste,
92,11004255,Dr. Franziska Brantner,1979-08-24,weiblich,Grünen,2025-03-25,,Sozialwissenschaftlerin,274,Heidelberg,Landesliste,
123,11004353,Dr. Irene Mihalic,1976-11-17,weiblich,Grünen,2025-03-24,,Polizeibeamtin,122,Gelsenkirchen,Landesliste,
289,11005065,Dr. Jan-Niclas Gesenhues,1990-02-12,männlich,Grünen,2025-03-25,,"Volkswirt, MdB",127,Steinfurt III,Landesliste,
252,11004962,Dr. Janosch Dahmen,1981-09-06,männlich,Grünen,2025-03-25,,Arzt,138,Ennepe-Ruhr-Kreis II,Landesliste,
149,11004429,Dr. Julia Verlinden,1979-01-18,weiblich,Grünen,2025-03-25,,Dipl.-Umweltwissenschaftlerin,37,Lüchow-Dannenberg – Lüneburg,Landesliste,wunderlicher.bsky.social
197,11004773,Dr. Kirsten Kappert-Gonther,1966-11-03,weiblich,Grünen,2025-03-25,,Fachärztin für Psychatrie und Psychotherapie,54,Bremen I,Landesliste,
79,11004123,Dr. Konstantin Notz,1971-01-21,männlich,Grünen,2025-03-25,,Rechtsanwalt,10,Herzogtum Lauenburg – Stormarn-Süd,Landesliste,
483,11005474,Dr. Lena Gumnior,1992-12-10,weiblich,Grünen,2025-03-25,,Juristin/Rechtsanwältin,34,Osterholz – Verden,Landesliste,
493,11005484,Dr. Moritz Heuberger,1991-02-11,männlich,Grünen,2025-03-25,,Verwaltungswissenschaftler,80,Berlin-Tempelhof-Schöneberg,Direktwahl,
349,11005167,Dr. Ophelia Nick,1973-01-24,weiblich,Grünen,2025-03-25,,"Tierärztin, Bundestagsabgeordnete",104,Mettmann II,Landesliste,
354,11005180,Dr. Paula Piechotta,1986-09-19,weiblich,Grünen,2025-03-25,,Ärztin,152,Leipzig II,Landesliste,paulapiechotta.de
297,11005074,Dr. Robert Habeck,1969-09-02,männlich,Grünen,2025-03-25,,Schriftsteller,1,Flensburg – Schleswig,Landesliste,
275,11005039,Dr. Sandra Detzer,1980-04-21,weiblich,Grünen,2025-03-25,,Politikwissenschaftlerin,265,Ludwigsburg,Landesliste,sandradetzer.bsky.social
367,11005201,Dr. Sebastian Schäfer,1979-07-11,männlich,Grünen,2025-03-25,,Wirtschaftswissenschaftler,261,Esslingen,Landesliste,
378,11005228,Dr. Till Steffen,1973-07-22,männlich,Grünen,2025-03-25,,Rechtsanwalt,20,Hamburg-Eimsbüttel,Direktwahl,
336,11005145,Dr. Zoe Mayer,1995-08-07,weiblich,Grünen,2025-03-25,,Doktorin der Ingenieurwissenschaften (Dr.-Ing.),271,Karlsruhe-Stadt,Direktwahl,zoegruene.bsky.social
261,11005016,Felix Banaszak,1989-10-24,männlich,Grünen,2025-03-25,,,115,Duisburg II,Landesliste,
223,11004857,Filiz Polat,1978-07-11,weiblich,Grünen,2025-03-25,,Dipl.-Volkswirtin,38,Osnabrück-Land,Landesliste,filiz-polat.de
380,11005230,Hanna Steinmüller,1993-04-09,weiblich,Grünen,2025-03-25,,Sozialwissenschaftlerin,74,Berlin-Mitte,Direktwahl,hanna-steinmueller.de
